STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
"Andhra Pradesh","Alluri Sitharama Raju",PMGSY-II,2,0,2,0,0,0,14,8.9385,12.395,6.4294,0
"Andhra Pradesh",Anakapalli,PMGSY-II,5,0,5,0,0,0,34.62,21.309,31.291,16.1277,0
"Andhra Pradesh",Annamayya,PMGSY-II,6,0,6,0,0,0,42.6,19.726,39.315,16.685,0
"Andhra Pradesh","Dr BR Ambedkar Konaseema",PMGSY-I,209,8,209,8,0,0,443.65,126.9822,427.215,141.9707,0
"Andhra Pradesh","East Godavari",PMGSY-I,104,2,104,2,0,0,252.056,54.527,249.354,43.5468,0
"Andhra Pradesh",Eluru,PMGSY-I,175,2,175,2,0,0,421.675,99.6221,417.125,114.8553,0
"Andhra Pradesh",Guntur,PMGSY-I,109,1,109,1,0,0,266.58,50.3647,273.22,49.8978,0
"Andhra Pradesh",Krishna,PMGSY-III,16,6,6,0,10,6,95.023,115.75985,36.806,27.9772,56.337
"Andhra Pradesh",Kurnool,PMGSY-III,11,0,8,0,3,0,102.633,46.9505,79.163,34.3371,19.62
"Andhra Pradesh",Nandyal,PMGSY-II,5,0,5,0,0,0,54.93,32.6416,53.622,28.8901,0
"Andhra Pradesh",Nandyal,PM-JANMAN,1,0,0,0,1,0,7.11,4.4,0,0,7.11
"Andhra Pradesh","Parvathipuram Manyam",PM-JANMAN,19,0,0,0,19,0,38.65,39.56477,0,0,38.65
